GeneId	logFC	logCPM	LR	PValue	FDR	RefSeq	Gene_Symbol
LDHC_NM_017448	1.577383186	4.563132839	16.24160504	5.58E-05	0.029383932	NM_017448	LDHC
NMNAT2_NM_170706	3.460539711	0.770469385	16.17284365	5.78E-05	0.029383932	NM_170706	NMNAT2
NMNAT2_NM_015039	3.460539911	0.770469239	16.16243707	5.81E-05	0.029383932	NM_015039	NMNAT2
TRIM55_NM_033058	-4.801919245	1.35002524	16.15437673	5.84E-05	0.029383932	NM_033058	TRIM55
TRIM55_NM_184085	-4.777949759	1.309564972	16.06772357	6.11E-05	0.030131875	NM_184085	TRIM55
TRIM55_NM_184086	-4.750112162	1.261235152	15.89285742	6.70E-05	0.0323868	NM_184086	TRIM55
TSPAN10_NM_031945	3.495611666	2.354667847	15.53119238	8.12E-05	0.038000793	NM_031945	TSPAN10
BRCC3_NM_024332	1.786308323	4.031638123	15.51630729	8.18E-05	0.038000793	NM_024332	BRCC3
ADA_NM_000022	2.159596196	4.599889998	15.48027423	8.34E-05	0.038001343	NM_000022	ADA
TSC1_NM_001162426	-2.169228658	5.024594062	15.3787297	8.80E-05	0.038656886	NM_001162426	TSC1
TSC1_NM_000368	-2.169040715	5.024829983	15.37795067	8.80E-05	0.038656886	NM_000368	TSC1
TSC1_NM_001162427	-2.149494077	4.975341142	15.2394401	9.47E-05	0.040467342	NM_001162427	TSC1
SRD5A2_NM_000348	-6.290544016	0.343403492	15.22401716	9.55E-05	0.040467342	NM_000348	SRD5A2
ITGA8_NM_003638	2.539064191	3.046970146	15.01433955	0.000106697	0.044441286	NM_003638	ITGA8
BRCC3_NM_001018055	1.742028197	3.937672404	14.78580101	0.000120439	0.048532425	NM_001018055	BRCC3
BRCC3_NM_001242640	1.742028213	3.937672402	14.7842583	0.000120538	0.048532425	NM_001242640	BRCC3
IGFBP5_NM_000599	-2.160771624	7.006272015	14.62408215	0.000131227	0.051970143	NM_000599	IGFBP5
F2R_NM_001992	2.550666065	4.768250242	14.5219451	0.000138536	0.053075208	NM_001992	F2R
TRIM55_NM_184087	-4.677776646	0.471411552	14.51522949	0.000139031	0.053075208	NM_184087	TRIM55
RSPO4_NM_001029871	4.745433693	2.306267259	14.49397938	0.000140608	0.053075208	NM_001029871	RSPO4
RSPO4_NM_001040007	4.745009289	2.210908347	14.44832186	0.000144058	0.053540875	NM_001040007	RSPO4
C9orf9_NM_018956	-2.654237444	2.58003169	14.32541071	0.000153775	0.056286338	NM_018956	C9orf9
PDGFA_NM_002607	2.741542885	2.990160646	14.29323819	0.000156426	0.056401999	NM_002607	PDGFA
H2AFB2_NM_001017991	4.051334652	-0.277355211	14.20648168	0.000163805	0.057436059	NM_001017991	H2AFB2
PDGFA_NM_033023	2.745498869	2.904957776	14.15437023	0.000168405	0.057436059	NM_033023	PDGFA
H2AFB3_NM_080720_2	4.031388837	-0.276294015	14.14664024	0.000169099	0.057436059	NM_080720_2	H2AFB3
H2AFB1_NM_001017990_2	4.031389366	-0.276294042	14.14392409	0.000169343	0.057436059	NM_001017990_2	H2AFB1
SERPINB2_NM_002575	2.796558976	4.157328567	14.12361481	0.000171181	0.057436059	NM_002575	SERPINB2
SERPINB2_NM_001143818	2.788418775	4.201227074	14.06049716	0.000177023	0.057488325	NM_001143818	SERPINB2
PTGS1_NM_000962	2.176486717	5.34385054	14.05912717	0.000177152	0.057488325	NM_000962	PTGS1
PTGS1_NM_080591	2.175284357	5.31289418	14.04512332	0.000178476	0.057488325	NM_080591	PTGS1
GPX3_NM_002084	3.076321601	1.727389513	14.01222033	0.000181626	0.057733289	NM_002084	GPX3
LGALS3BP_NM_005567	2.339691962	5.458212738	13.78312405	0.000205171	0.064370392	NM_005567	LGALS3BP
NR4A3_NM_173200	-2.065369077	2.052835011	13.66667564	0.000218294	0.067609587	NM_173200	NR4A3
CASS4_NM_020356	-3.693065701	0.059471232	13.58437021	0.000228077	0.069301175	NM_020356	CASS4
TNFSF4_NM_003326	-2.631336649	1.349231844	13.5630425	0.000230683	0.069301175	NM_003326	TNFSF4
KRT32_NM_002278	4.386052698	0.992274979	13.53118595	0.000234632	0.069301175	NM_002278	KRT32
NR4A3_NM_006981	-2.071965011	2.036608821	13.52640343	0.00023523	0.069301175	NM_006981	NR4A3
CCDC137_NM_199287	2.074647192	4.168618997	13.47244827	0.000242092	0.070463416	NM_199287	CCDC137
CASS4_NM_001164114	-3.688384304	0.001675527	13.41639415	0.000249435	0.071736235	NM_001164114	CASS4
SLC2A1_NM_006516	-1.3189823	4.316205761	13.01965804	0.000308238	0.087604893	NM_006516	SLC2A1
LYNX1_NM_177477	1.350657137	3.864162011	12.96990633	0.000316538	0.087666863	NM_177477	LYNX1
PLEKHA6_NM_014935	-3.62979473	-0.342626595	12.95728106	0.00031868	0.087666863	NM_014935	PLEKHA6
LYNX1_NM_177476	1.350499441	3.862847008	12.95338929	0.000319343	0.087666863	NM_177476	LYNX1
KRT37_NM_003770	4.53413499	1.425375559	12.87681709	0.000332678	0.090301398	NM_003770	KRT37
GALNT5_NM_014568	-1.205383965	5.119948836	12.8552421	0.000336535	0.090333517	NM_014568	GALNT5
RELN_NM_005045	3.579844681	-0.303947119	12.82363816	0.000342268	0.090862629	NM_005045	RELN
LYNX1_NM_177457	1.34576502	3.856542528	12.80103754	0.000346427	0.090967257	NM_177457	LYNX1
CDH18_NM_004934	-3.960353413	0.844965423	12.76220156	0.000353694	0.091876863	NM_004934	CDH18
RELN_NM_173054	3.572808638	-0.323134382	12.72003946	0.000361758	0.092971841	NM_173054	RELN
SOX9_NM_000346	-2.835590882	0.854622572	12.66373885	0.000372816	0.094805127	NM_000346	SOX9
CDH18_NM_001167667	-3.943593135	0.812265934	12.61556708	0.000382547	0.096266475	NM_001167667	CDH18
CASS4_NM_001164116	-3.493748745	0.076378207	12.55667157	0.000394794	0.09832413	NM_001164116	CASS4
SLC26A4_NM_000441	3.097013392	0.414139417	12.49020966	0.00040909	0.099670718	NM_000441	SLC26A4
ITGB3_NM_000212	1.899946149	2.695443743	12.48629845	0.000409948	0.099670718	NM_000212	ITGB3
TSTD1_NM_001113205	-6.319204172	-0.874605662	12.47434853	0.000412579	0.099670718	NM_001113205	TSTD1
MN1_NM_002430	-1.317595344	4.717066052	12.43463693	0.000421444	0.100804455	NM_002430	MN1
ABI3BP_NM_015429	1.888559524	5.420732505	12.37540964	0.000435025	0.103032769	NM_015429	ABI3BP
TSTD1_NM_001113207	-6.200291651	-0.649802062	12.32394917	0.000447184	0.104884093	NM_001113207	TSTD1
ZFPM2_NM_012082	-3.857014963	0.171083106	12.28636758	0.000456279	0.10598833	NM_012082	ZFPM2
PAPSS2_NM_001015880	1.443906649	5.576263776	12.17117474	0.000485337	0.111067797	NM_001015880	PAPSS2
TBC1D3G_NM_001040282	-1.642485516	3.371536466	12.16348969	0.000487341	0.111067797	NM_001040282	TBC1D3G
PAPSS2_NM_004670	1.444001706	5.547426569	12.1115846	0.000501095	0.113135153	NM_004670	PAPSS2
TBX1_NM_080647	-4.21254212	1.851060593	12.03289137	0.000522699	0.116920093	NM_080647	TBX1
GOLGA8B_NR_027410	-1.521265468	5.052697106	11.92144257	0.000554915	0.121743252	NR_027410	GOLGA8B
CKMT1A_NM_001015001	-3.003557194	2.154062317	11.91520092	0.000556777	0.121743252	NM_001015001	CKMT1A
LOXL4_NM_032211	-1.884738493	6.09478991	11.90651365	0.00055938	0.121743252	NM_032211	LOXL4
WNT16_NM_016087	3.969503093	0.447677085	11.87126294	0.000570067	0.122084713	NM_016087	WNT16
WNT16_NM_057168	3.948656669	0.555021796	11.86803582	0.000571056	0.122084713	NM_057168	WNT16
ARRDC4_NM_183376	1.874933276	3.535680791	11.77655231	0.000599815	0.127108107	NM_183376	ARRDC4
TSTD1_NM_001113206	-6.022785247	-1.038892246	11.75054462	0.000608254	0.127775732	NM_001113206	TSTD1
RASIP1_NM_017805	4.059830265	2.800019453	11.69634462	0.00062623	0.130417795	NM_017805	RASIP1
KRT38_NM_006771	4.288718705	1.120438318	11.59530097	0.000661187	0.136520931	NM_006771	KRT38
TBC1D3H_NM_001123392	-1.435936868	4.735652011	11.5606961	0.000673606	0.136914267	NM_001123392	TBC1D3H
SNORD24_NR_002447	-2.046045212	1.504402207	11.54398419	0.000679688	0.136914267	NR_002447	SNORD24
GOLGA8B_NM_001023567	-1.528015139	4.826040312	11.54287456	0.000680094	0.136914267	NM_001023567	GOLGA8B
TBX1_NM_005992	-4.224125757	1.353671328	11.45344947	0.000713614	0.141843514	NM_005992	TBX1
C17orf90_NM_001039842	2.156607116	2.410094448	11.44641129	0.000716322	0.141843514	NM_001039842	C17orf90
PRDM7_NM_001098173	2.303640366	1.043107214	11.36642468	0.000747837	0.146880036	NM_001098173	PRDM7
TBX1_NM_080646	-4.221822207	1.354633289	11.33309042	0.000761381	0.148334185	NM_080646	TBX1
C10orf10_NM_007021	2.261073783	2.974094192	11.29339899	0.000777831	0.150326822	NM_007021	C10orf10
CPNE7_NM_014427	2.393872305	2.702977902	11.21754091	0.000810278	0.155354714	NM_014427	CPNE7
CPNE7_NM_153636	2.40326713	2.636984949	11.14078881	0.0008445	0.159531202	NM_153636	CPNE7
SYT14_NM_001256006	-3.252071576	-0.588286675	11.13910117	0.000845268	0.159531202	NM_001256006	SYT14
BST2_NM_004335	3.672540414	-0.653088854	11.12149205	0.000853331	0.159804446	NM_004335	BST2
SYT14_NM_001146264	-3.220415898	-0.618667713	10.93838132	0.000941924	0.175038507	NM_001146264	SYT14
GOLGA8A_NR_027409	-1.383602846	5.210875925	10.87161673	0.000976492	0.178497764	NR_027409	GOLGA8A
GPR133_NM_198827	-2.066026452	3.666876828	10.86253483	0.000981293	0.178497764	NM_198827	GPR133
SYT14_NM_153262	-3.209429849	-0.632300055	10.85945541	0.000982926	0.178497764	NM_153262	SYT14
ECE2_NM_014693	-2.600957218	1.484781332	10.8459992	0.000990094	0.178497764	NM_014693	ECE2
MSX2_NM_002449	2.978689887	0.945059696	10.79106301	0.001019913	0.182511536	NM_002449	MSX2
SYT14_NM_001146261	-3.168445304	-0.587921565	10.67324627	0.001086962	0.193079602	NM_001146261	SYT14
MYPN_NM_001256268	3.078802043	1.405112243	10.64745233	0.001102226	0.193666023	NM_001256268	MYPN
WNT5A_NM_001256105	-1.226079372	5.912641131	10.64063551	0.001106297	0.193666023	NM_001256105	WNT5A
WNT5A_NM_003392	-1.224787362	5.930999197	10.59259043	0.001135418	0.19605232	NM_003392	WNT5A
SYT14_NM_001146262	-3.157705943	-0.601265198	10.59138419	0.001136159	0.19605232	NM_001146262	SYT14
OLFM2_NM_058164	1.950184501	5.863353218	10.5665838	0.001151503	0.196588543	NM_058164	OLFM2
MYPN_NM_001256267	3.079703052	1.352830007	10.5601126	0.001155542	0.196588543	NM_001256267	MYPN
MYPN_NM_032578	3.076778961	1.336127444	10.54179042	0.001167053	0.197158523	NM_032578	MYPN
MYPN_NR_045662	3.105979953	1.25341414	10.50727644	0.001189054	0.199480292	NR_045662	MYPN
C18orf1_NM_181482	-3.572181649	-0.384922629	10.39752657	0.001261842	0.210231619	NM_181482	C18orf1
KRT35_NM_002280	4.123044746	0.609837814	10.32180464	0.001314677	0.215980775	NM_002280	KRT35
C18orf1_NM_181481	-3.551084925	-0.358100297	10.32105646	0.00131521	0.215980775	NM_181481	C18orf1
CPA4_NM_016352	-2.172434417	2.845282023	10.30991946	0.001323171	0.215980775	NM_016352	CPA4
SFRP1_NM_003012	-2.979747385	3.909584188	10.22916647	0.001382371	0.224129687	NM_003012	SFRP1
MYPN_NR_045663	3.052241588	1.248444327	10.19215183	0.001410396	0.227149031	NR_045663	MYPN
TBC1D3C_NM_001001418	-1.357503217	4.820042444	10.16425487	0.001431898	0.229084675	NM_001001418	TBC1D3C
CADM1_NM_001098517	-2.660051458	3.453371063	9.984919791	0.001578274	0.249980622	NM_001098517	CADM1
CPA4_NM_001163446	-2.158401876	2.745949768	9.979177716	0.001583204	0.249980622	NM_001163446	CPA4
CADM1_NM_014333	-2.655579058	3.477271123	9.947927763	0.001610306	0.25260885	NM_014333	CADM1
HAPLN3_NM_178232	2.404144238	2.893338106	9.935457066	0.001621252	0.252685158	NM_178232	HAPLN3
NEAT1_NR_028272	-1.433071631	4.835746087	9.888669808	0.001662995	0.257529762	NR_028272	NEAT1
C18orf1_NM_001003675	-3.610940106	-0.605450545	9.848114055	0.00170006	0.260249648	NM_001003675	C18orf1
CH25H_NM_003956	-1.786355102	2.731883959	9.84590248	0.001702105	0.260249648	NM_003956	CH25H
AHNAK2_NM_138420	-1.444324266	6.583399255	9.833861722	0.001713283	0.26031122	NM_138420	AHNAK2
C18orf1_NM_181483	-3.592285748	-0.625409105	9.774214907	0.001769763	0.267212052	NM_181483	C18orf1
C18orf1_NM_001003674	-3.585031981	-0.574246535	9.733324824	0.001809569	0.271525206	NM_001003674	C18orf1
GOLGA8A_NM_181077	-1.2922918	4.289204506	9.681019136	0.001861813	0.277400245	NM_181077	GOLGA8A
C18orf1_NM_004338	-3.566713305	-0.593774914	9.671300209	0.001871688	0.277400245	NM_004338	C18orf1
NPTX1_NM_002522	2.634356388	3.456415256	9.616043066	0.001928849	0.284128834	NM_002522	NPTX1
NPIPL3_NM_130464	-1.16800453	4.932391469	9.594038433	0.001952101	0.285811285	NM_130464	NPIPL3
KCNA4_NM_002233	-3.812569534	0.027091292	9.533781649	0.00201724	0.293569237	NM_002233	KCNA4
KRT19_NM_002276	2.831013116	3.156764905	9.41580784	0.002151228	0.311193761	NM_002276	KRT19
ITGA11_NM_001004439	-1.284619492	8.820623214	9.404136479	0.002164965	0.311316751	NM_001004439	ITGA11
ADD2_NM_017488	-2.950180769	0.871160621	9.372384654	0.002202788	0.314881327	NM_017488	ADD2
ATP2A1_NM_004320	-1.520795083	4.777225225	9.336298534	0.002246588	0.3177085	NM_004320	ATP2A1
ATP2A1_NM_173201	-1.519919291	4.714024342	9.334440025	0.002248868	0.3177085	NM_173201	ATP2A1
ADD2_NM_001185054	-2.947490251	0.799926103	9.255855732	0.002347436	0.32890267	NM_001185054	ADD2
ADD2_NM_001617	-2.935580054	0.832796909	9.246318224	0.002359694	0.32890267	NM_001617	ADD2
MOK_NM_014226	2.418153307	2.895625174	9.239150123	0.002368949	0.32890267	NM_014226	MOK
MAPK8IP3_NM_015133	-1.486962508	2.775688546	9.223077691	0.002389835	0.329906448	NM_015133	MAPK8IP3
LAMC2_NM_005562	1.996190438	1.331521386	9.181807739	0.002444325	0.335511356	NM_005562	LAMC2
AP1M1_NM_001130524	0.98524416	5.896812053	9.143510708	0.002496017	0.340671091	NM_001130524	AP1M1
ADRA2A_NM_000681	-1.579407321	4.298243912	9.095535297	0.002562342	0.347758763	NM_000681	ADRA2A
KCNS2_NM_020697	2.755863782	1.206453931	9.083268498	0.002579586	0.348143231	NM_020697	KCNS2
MAPK8IP3_NM_001040439	-1.475835572	2.766846712	9.070945479	0.002597028	0.348549955	NM_001040439	MAPK8IP3
AFG3L1P_NR_003228	1.703617431	1.772058143	9.038477322	0.002643557	0.352834573	NR_003228	AFG3L1P
CYTL1_NM_018659	-3.234399821	-0.730921653	9.001385302	0.00269775	0.358089304	NM_018659	CYTL1
C17orf70_NM_025161	1.423620448	5.086859914	8.973378923	0.002739415	0.360792025	NM_025161	C17orf70
CD19_NM_001770	-1.548855728	4.137405474	8.960803736	0.002758335	0.360792025	NM_001770	CD19
CD19_NM_001178098	-1.548855725	4.137405469	8.957772257	0.002762916	0.360792025	NM_001178098	CD19
MALAT1_NR_002819	-1.809707086	5.134703511	8.923051623	0.002815936	0.365738617	NR_002819	MALAT1
NGEF_NM_019850	-3.329876061	-0.063238363	8.894918912	0.002859653	0.369430472	NM_019850	NGEF
C17orf70_NR_033338	1.404314661	5.105879745	8.840788682	0.002945718	0.378524791	NR_033338	C17orf70
MT2A_NM_005953	1.492849226	6.051403667	8.788533502	0.003031298	0.38404916	NM_005953	MT2A
STEAP1B_NM_207342	1.901997338	1.538043509	8.785781919	0.003035874	0.38404916	NM_207342	STEAP1B
PLA2G4A_NM_024420	1.891143448	1.797313282	8.785464981	0.003036402	0.38404916	NM_024420	PLA2G4A
AP1M1_NM_032493	0.952997909	5.840091473	8.757593415	0.003083156	0.387931711	NM_032493	AP1M1
NGEF_NM_001114090	-3.301537651	-0.040333075	8.74574116	0.003103259	0.388438044	NM_001114090	NGEF
SLC24A2_NM_020344	-6.186321734	0.78390533	8.672671996	0.003230172	0.401473683	NM_020344	SLC24A2
MTCP1_NM_001018025	1.163666987	3.337092523	8.666776378	0.003240639	0.401473683	NM_001018025	MTCP1
CXCL12_NM_000609	1.188252976	6.077444423	8.648584504	0.003273155	0.40327127	NM_000609	CXCL12
PPP1R14A_NM_033256	2.438021727	1.161085805	8.636697698	0.003294581	0.40327127	NM_033256	PPP1R14A
LOC100132396_NM_001193630	-2.025694366	0.733087713	8.617650697	0.00332921	0.40327127	NM_001193630	LOC100132396
FAM131B_NM_014690	2.405222532	1.253625261	8.606498408	0.003349657	0.40327127	NM_014690	FAM131B
FAM131B_NM_001031690	2.405365368	1.254596239	8.605318726	0.003351827	0.40327127	NM_001031690	FAM131B
LOC100190986_NR_024456	-1.552736885	2.497311754	8.603428409	0.003355308	0.40327127	NR_024456	LOC100190986
LAT_NM_001014989	-1.534321299	3.95958354	8.593750821	0.003373185	0.403412908	NM_001014989	LAT
SOX11_NM_003108	-3.459447088	-0.273986929	8.542766863	0.003468979	0.412825616	NM_003108	SOX11
TBC1D3B_NM_001001417	-1.380855546	3.933429355	8.523913601	0.003505099	0.414651337	NM_001001417	TBC1D3B
CDH8_NM_001796	-2.901392917	0.592089454	8.502081494	0.003547404	0.414651337	NM_001796	CDH8
FERMT3_NM_178443	2.115852317	1.459080043	8.492912608	0.003565326	0.414651337	NM_178443	FERMT3
FERMT3_NM_031471	2.115716481	1.458994662	8.491539617	0.003568017	0.414651337	NM_031471	FERMT3
CXCL12_NM_001033886	1.214937686	5.527639315	8.490456844	0.003570141	0.414651337	NM_001033886	CXCL12
HUNK_NM_014586	-1.653257402	2.673247422	8.473557111	0.003603461	0.416518705	NM_014586	HUNK
LAT_NM_001014988	-1.532052705	3.847237839	8.446706232	0.003657052	0.419034113	NM_001014988	LAT
LAT_NM_001014987	-1.532080148	3.847253371	8.445283491	0.003659914	0.419034113	NM_001014987	LAT
STEAP1B_NM_001164460	1.882814573	1.456041973	8.430216372	0.003690364	0.420527455	NM_001164460	STEAP1B
FST_NM_006350	-1.318253385	6.162152901	8.361983803	0.00383152	0.43456278	NM_006350	FST
FST_NM_013409	-1.31626093	6.145491137	8.339522317	0.00387918	0.437912245	NM_013409	FST
FAM90A13_NM_001164456	-1.871456721	0.961651508	8.325366696	0.003909525	0.43864909	NM_001164456	FAM90A13
FAM90A14_NM_001164452_1	-1.871456008	0.961651468	8.313477591	0.003935197	0.43864909	NM_001164452_1	FAM90A14
SLC24A2_NM_001193288	-6.016739934	0.614970172	8.30681809	0.003949653	0.43864909	NM_001193288	SLC24A2
HAND2_NM_021973	-1.446438094	3.052647632	8.288094699	0.003990584	0.43864909	NM_021973	HAND2
LOC654433_NR_015377	-2.101462838	3.091959543	8.281380407	0.004005367	0.43864909	NR_015377	LOC654433
SMO_NM_005631	-1.260281819	2.922556218	8.278787472	0.004011091	0.43864909	NM_005631	SMO
CXCL12_NM_001178134	1.231520459	6.716550845	8.278009572	0.004012809	0.43864909	NM_001178134	CXCL12
PI16_NM_001199159	-2.614582188	2.227244994	8.247835516	0.004080062	0.443564141	NM_001199159	PI16
LAT_NM_014387	-1.531440305	3.723375009	8.24142619	0.004094495	0.443564141	NM_014387	LAT
PI16_NM_153370	-2.613757173	2.228688595	8.233245845	0.004112991	0.443578686	NM_153370	PI16
LOC100271836_NR_027155	-1.165180632	7.780249115	8.20999882	0.004166018	0.445486014	NR_027155	LOC100271836
LOC653075_NR_033933	-1.29782966	2.782114483	8.209328603	0.004167557	0.445486014	NR_033933	LOC653075
RGS7_NM_002924	2.877117685	1.088806757	8.158161953	0.004286779	0.456211535	NM_002924	RGS7
SEMA3D_NM_152754	-1.262014305	3.855760933	8.127752362	0.004359276	0.461892008	NM_152754	SEMA3D
COL8A2_NM_005202	-1.289570087	3.841195206	8.072115045	0.004495162	0.473208194	NM_005202	COL8A2
GAS1_NM_002048	-1.245993292	5.163546443	8.066959743	0.004507969	0.473208194	NM_002048	GAS1
MED26_NM_004831	1.536665382	2.260862801	8.060191402	0.00452484	0.473208194	NM_004831	MED26
GMNN_NM_015895	1.416758258	2.727751167	8.020719511	0.004624519	0.481548019	NM_015895	GMNN
HSPA2_NM_021979	-1.428832925	3.07950636	7.991979069	0.004698503	0.487152069	NM_021979	HSPA2
CXCL12_NM_199168	1.236081431	7.172269577	7.984199638	0.004718735	0.487158991	NM_199168	CXCL12
NR4A3_NM_173199	-2.16293529	0.077061765	7.953512044	0.004799415	0.493379868	NM_173199	NR4A3
MAMLD1_NM_001177466	-0.990475544	4.392023681	7.897603343	0.004950034	0.506707307	NM_001177466	MAMLD1
S100A5_NM_002962	2.990482332	1.304626003	7.84095112	0.005107573	0.519726252	NM_002962	S100A5
MAMLD1_NM_005491	-0.989527219	4.430278239	7.834491405	0.005125857	0.519726252	NM_005491	MAMLD1
GMNN_NM_001251991	1.424078098	2.651692519	7.826720027	0.005147943	0.519726252	NM_001251991	GMNN
DOCK10_NM_014689	1.042876253	4.119966375	7.821346642	0.005163271	0.519726252	NM_014689	DOCK10
PPP1R14A_NM_001243947	2.425673266	0.67787104	7.762692589	0.005333639	0.534647506	NM_001243947	PPP1R14A
PFN2_NM_002628	-0.947511833	6.562908281	7.741651186	0.005396144	0.537158229	NM_002628	PFN2
CDK1_NM_033379	1.814708846	3.350606416	7.727873642	0.005437475	0.537158229	NM_033379	CDK1
GMNN_NM_001251989	1.407692063	2.664865388	7.725252196	0.005445375	0.537158229	NM_001251989	GMNN
CDK1_NM_001786	1.817495961	3.553232386	7.724505873	0.005447627	0.537158229	NM_001786	CDK1
SECTM1_NM_003004	1.824767978	4.458205846	7.700200563	0.005521469	0.542122905	NM_003004	SECTM1
MAMLD1_NM_001177465	-0.988429891	4.264667812	7.691702686	0.005547527	0.542122905	NM_001177465	MAMLD1
KCND2_NM_012281	-2.634679817	0.475891342	7.685930276	0.005565298	0.542122905	NM_012281	KCND2
LAMC1_NM_002293	1.286446239	8.531182971	7.662017545	0.005639541	0.547148679	NM_002293	LAMC1
PFN2_NM_053024	-0.942696295	6.596505519	7.634913174	0.005724914	0.553209903	NM_053024	PFN2
COL14A1_NM_021110	-1.33195056	4.485642904	7.595540618	0.005851285	0.563005941	NM_021110	COL14A1
HSD17B14_NM_016246	1.724999179	3.495852006	7.5888933	0.005872899	0.563005941	NM_016246	HSD17B14
