	logFC	logCPM	LR	PValue	FDR
HLA-DPA1_NM_001242524_1	2.947902888	0.893010403	16.59145473	4.64E-05	0.044798047
ATP2A1_NM_004320	2.040369302	4.777225225	16.26801279	5.50E-05	0.047526002
HLA-DPA1_NM_001242525_3	2.932110821	0.861833305	16.26526572	5.51E-05	0.047526002
ATP2A1_NM_173201	2.03914771	4.714024342	16.26457009	5.51E-05	0.047526002
CHRFAM7A_NM_139320	2.091353616	2.377829414	16.10961615	5.98E-05	0.049798571
CAMK2A_NM_015981	4.354176961	0.643696354	15.87936956	6.75E-05	0.050944953
CSPG4_NM_001897	2.188499106	4.555702017	15.74566773	7.25E-05	0.050944953
CMKLR1_NM_001142343	3.776872917	0.723758126	15.72158426	7.34E-05	0.050944953
CAMK2A_NM_171825	4.308379315	0.571898563	15.59533516	7.84E-05	0.050944953
CMKLR1_NM_004072	3.769833279	0.678345158	15.59453948	7.85E-05	0.050944953
AK8_NM_152572	3.357140867	1.876889967	15.56152399	7.99E-05	0.050944953
PRKG2_NM_006259	-2.836968052	0.976308388	15.47483214	8.36E-05	0.050944953
CHRFAM7A_NM_148911	2.089244468	2.225947473	15.46968003	8.38E-05	0.050944953
CMKLR1_NM_001142345	3.801073822	0.629612627	15.44361103	8.50E-05	0.050944953
CMKLR1_NM_001142344	3.763268474	0.666383729	15.4408748	8.51E-05	0.050944953
CD19_NM_001770	2.065042181	4.137405474	15.41668719	8.62E-05	0.050944953
CD19_NM_001178098	2.065042235	4.137405469	15.41147293	8.65E-05	0.050944953
BRCC3_NM_024332	-1.761387406	4.031638123	15.10925989	0.000101464	0.058361337
LAT_NM_001014989	2.059656796	3.95958354	14.98142714	0.000108575	0.060998699
LAT_NM_001014988	2.058892421	3.847237839	14.75658914	0.000122319	0.06575795
LAT_NM_001014987	2.058919904	3.847253371	14.75396356	0.00012249	0.06575795
TSC1_NM_001162426	2.105713666	5.024594062	14.55699544	0.000135983	0.067972447
TSC1_NM_000368	2.105222681	5.024829983	14.55229995	0.000136322	0.067972447
TSC1_NM_001162427	2.08685327	4.975341142	14.42795232	0.000145625	0.067972447
VIT_NM_053276	-2.674855654	2.217416397	14.42306711	0.000146003	0.067972447
LAT_NM_014387	2.058202213	3.723375009	14.39992326	0.000147808	0.067972447
NEAT1_NR_028272	1.744128002	4.835746087	14.38826478	0.000148726	0.067972447
BRCC3_NM_001018055	-1.71629738	3.937672404	14.3742286	0.000149839	0.067972447
BRCC3_NM_001242640	-1.716297399	3.937672402	14.37272895	0.000149958	0.067972447
VIT_NM_001177969	-2.665505467	2.179392993	14.34382969	0.000152278	0.067972447
VIT_NM_001177970	-2.668955704	2.130292027	14.31349608	0.000154751	0.067972447
VIT_NM_001177971	-2.649392829	2.126036761	14.14113101	0.000169595	0.073027211
FST_NM_013409	1.730076202	6.145491137	14.0812751	0.000175078	0.073027211
FST_NM_006350	1.73011874	6.162152901	14.07859018	0.000175328	0.073027211
CKMT1A_NM_001015001	3.292010354	2.154062317	13.95230576	0.000187508	0.07586155
H2AFB2_NM_001017991	-4.005303535	-0.277355211	13.9432449	0.000188413	0.07586155
H2AFB3_NM_080720_2	-3.984131069	-0.276294015	13.87589183	0.000195287	0.076200744
H2AFB1_NM_001017990_2	-3.98413162	-0.276294042	13.8732284	0.000195564	0.076200744
NPIPL3_NM_130464	1.400775289	4.932391469	13.64503447	0.000220825	0.084677446
COL8A2_NM_005202	1.692929727	3.841195206	13.60854166	0.000225159	0.084990383
KRT19_NM_002276	-3.475690358	3.156764905	13.41276959	0.000249917	0.092884591
IGDCC4_NM_020962	2.924406284	2.085401639	12.84099214	0.000339108	0.124123717
MRVI1_NM_001098579	-2.756264941	2.88080455	12.78362423	0.000349667	0.125479478
MRVI1_NM_130385	-2.758399522	2.883919982	12.76481802	0.0003532	0.125479478
MRVI1_NM_001100163	-2.753864346	2.873075233	12.69570632	0.000366496	0.128316141
MRVI1_NM_001100167	-2.75332344	2.864089294	12.64699345	0.00037617	0.128831323
MRVI1_NM_001206881	-2.746746434	2.847295845	12.61805213	0.000382039	0.128831323
MRVI1_NM_001206880	-2.73934399	2.786520508	12.60864771	0.000383966	0.128831323
BDKRB2_NM_000623	-2.307063363	1.840411244	12.47815784	0.000411738	0.136257087
PTGS2_NM_000963	-2.622852085	1.556493124	12.25690866	0.000463539	0.15132662
ARHGDIB_NM_001175	-3.101842737	1.029850746	11.95460823	0.000545124	0.175588037
MT1E_NM_175617	-1.64381963	4.993453226	11.84489817	0.000578195	0.182231397
LOC100190986_NR_024456	1.837119302	2.497311754	11.83641565	0.000580835	0.182231397
C9orf9_NM_018956	2.355219901	2.58003169	11.54838281	0.000678082	0.210014202
TRIM55_NM_184086	3.852751126	1.261235152	11.39124487	0.000737911	0.224355867
TRIM55_NM_184085	3.844547926	1.309564972	11.37373025	0.000744901	0.224355867
AQP1_NM_198098	2.364778068	3.628063557	11.3554998	0.000752249	0.224355867
TRIM55_NM_033058	3.835546183	1.35002524	11.30397118	0.000773415	0.227855581
RELN_NM_005045	-3.3095032	-0.303947119	11.22298761	0.000807903	0.235148531
AQP1_NM_001185062	2.325563391	3.488573118	11.15938961	0.000836074	0.237844441
RELN_NM_173054	-3.30528273	-0.323134382	11.14472979	0.000842707	0.237844441
AQP1_NM_001185060	2.326426791	3.538448851	11.13595823	0.000846702	0.237844441
AQP1_NM_001185061	2.318019006	3.492190289	11.09601745	0.000865133	0.240228557
USP32P2_NR_003554	3.016023516	0.262590009	11.06958135	0.000877555	0.240908775
PRELP_NM_201348	2.093929827	4.476816607	10.79908998	0.0010155	0.270666338
THBS4_NM_003248	2.353252551	1.695596612	10.78709407	0.001022102	0.270666338
PRELP_NM_002725	2.093787816	4.479676324	10.78414052	0.001023734	0.270666338
RABEP2_NM_024816	1.240547357	4.717055866	10.77146591	0.001030768	0.270666338
EFNB2_NM_004093	1.745436284	3.551245084	10.69550926	0.001073959	0.278975302
LDHC_NM_002301	-1.266326126	4.563132832	10.64278723	0.00110501	0.28180713
LDHC_NM_017448	-1.266326144	4.563132839	10.63747129	0.001108191	0.28180713
CDH13_NM_001220490	1.310377151	5.735122482	10.53205566	0.001173216	0.289441164
L1CAM_NM_024003	3.585856052	0.355511858	10.5300053	0.001174519	0.289441164
L1CAM_NM_000425	3.591345124	0.386085067	10.52155575	0.001179901	0.289441164
CDH13_NM_001220489	1.306758308	5.771171661	10.50021783	0.001193605	0.289441164
L1CAM_NM_001143963	3.584188956	0.342354713	10.49324559	0.001198117	0.289441164
C21orf58_NM_058180	2.350541901	1.782991369	10.45041865	0.001226217	0.293296444
PCNT_NM_006031	1.396695768	4.422120444	10.41622413	0.00124913	0.295847935
SRGN_NM_002727	-2.646213021	0.502635611	10.37789643	0.001275329	0.297116892
CDH13_NM_001257	1.296472392	5.842656091	10.3479225	0.001296205	0.297116892
VIT_NM_001177972	-2.386219615	1.279463058	10.33854044	0.00130281	0.297116892
NRG1_NM_001160004	1.484571841	3.308418328	10.33730288	0.001303684	0.297116892
NRG1_NM_013956	1.483973699	3.283699137	10.29488894	0.001333992	0.301182939
NRG1_NM_013960	1.478626884	3.313248523	10.27157377	0.001350955	0.302188657
CDH13_NM_001220488	1.291363892	5.871369836	10.22079822	0.001388657	0.307772339
NRG1_NM_013957	1.479586588	3.250580389	10.17384916	0.001424466	0.310273117
NRG1_NM_001159999	1.499827938	3.171452102	10.17234578	0.001425628	0.310273117
NRG1_NM_013964	1.473413995	3.255607824	10.10635052	0.001477593	0.318711474
TRIM55_NM_184087	3.711330213	0.471411552	10.02091562	0.001547725	0.330884446
UNC5B_NM_170744	1.214242731	4.524327716	9.897682583	0.00165487	0.346329125
NRG1_NM_001159995	1.508898951	3.09074164	9.89556618	0.001656775	0.346329125
UNC5B_NM_001244889	1.213999963	4.509789078	9.88869108	0.001662976	0.346329125
MTCP1_NM_001018025	-1.242573376	3.337092523	9.84661497	0.001701446	0.351312148
LFNG_NM_001040167	1.609214949	2.324520139	9.79296355	0.001751809	0.3556638
NRG1_NM_001160001	1.519434542	3.012798733	9.772208661	0.001771695	0.3556638
MIR1233-1_NR_036050_1	2.151112726	1.069058835	9.755843355	0.001787536	0.3556638
NRG1_NM_001159996	1.526144462	2.890240303	9.737346294	0.001805614	0.3556638
MIR1233-2_NR_036261_1	2.15111411	1.06905861	9.732143014	0.001810732	0.3556638
LFNG_NM_002304	1.613152468	2.247924074	9.732018118	0.001810856	0.3556638
LFNG_NM_001166355	1.612950029	2.245759276	9.711443556	0.001831241	0.356767125
SRGN_NR_036430	-2.669150368	0.090975751	9.679193505	0.001863664	0.360179192
KRT18_NM_000224	-3.014540172	0.696314334	9.609036365	0.001936222	0.370223677
ULK4P3_NR_026859_1	2.179477621	0.5505739	9.599515434	0.001946287	0.370223677
TRIM31_NM_007028	1.033675702	5.488276211	9.452002704	0.002109187	0.398076045
COL7A1_NM_000094	1.663537236	4.410801699	9.414653948	0.002152582	0.402409945
KRT18_NM_199187	-2.96900929	0.756770938	9.403713089	0.002165465	0.402409945
MT1M_NM_176870	-1.697787311	4.440410894	9.351396116	0.002228157	0.410899312
GBP3_NM_018284	-1.047060058	4.241624879	9.264882718	0.002335894	0.427504062
LTBP2_NM_000428	1.175085444	8.069870144	9.221511922	0.002391879	0.434458823
IL1R1_NM_000877	-1.14415965	6.698245616	9.175497325	0.002452767	0.43961337
ATXN2L_NM_148416	0.985334174	6.090348711	9.170620226	0.002459312	0.43961337
ATXN2L_NM_145714	0.984658392	6.091849682	9.159094749	0.00247485	0.43961337
ATXN2L_NM_148415	0.98389592	6.09326361	9.144026481	0.002495314	0.439653439
ATXN2L_NM_148414	0.99093607	6.138079454	9.132215955	0.002511473	0.439653439
TRIM10_NM_052828	1.033791717	5.318388461	9.114460849	0.002535967	0.4397779
INHBB_NM_002193	2.355240836	1.39080369	9.10537627	0.002548593	0.4397779
CXCL12_NM_000609	-1.215663643	6.077444423	9.040957593	0.002639973	0.449743632
ANKRD36_NM_001164315	2.382229645	0.500538334	9.031432965	0.002653764	0.449743632
EFS_NM_005864	1.132830497	3.630158712	9.023888282	0.002664739	0.449743632
EFS_NM_032459	1.138119833	3.508536511	9.007627248	0.002688552	0.449743632
MAMLD1_NM_001177466	1.058817462	4.392023681	9.000247905	0.00269943	0.449743632
TRIM15_NM_033229	1.033796024	5.125668026	8.889788053	0.0028677	0.465900508
PHLDB2_NM_145753	-1.148504366	3.651868127	8.889450384	0.002868231	0.465900508
MAMLD1_NM_005491	1.055176738	4.430278239	8.885049029	0.002875153	0.465900508
TRIM10_NM_006778_2	1.033736095	5.125771855	8.884680408	0.002875734	0.465900508
DKFZP434L187_NR_026771	2.114981533	0.615229547	8.867929298	0.002902242	0.465900508
ATXN2L_NM_007245	0.961894724	6.07490715	8.845288275	0.002938465	0.465900508
PHLDB2_NM_001134437	-1.147829549	3.645980081	8.839771419	0.002947361	0.465900508
MAMLD1_NM_001177465	1.061060588	4.264667812	8.837710746	0.00295069	0.465900508
MT1JP_NR_036677	-1.746460025	4.26342553	8.813236054	0.002990532	0.469125104
PHLDB2_NM_001134438	-1.140635793	3.696469658	8.775809246	0.003052517	0.473119039
CCDC144B_NR_036647	2.626049987	-0.038648015	8.752131804	0.003092403	0.473119039
CATSPER2P1_NR_002318	2.444522643	1.164677325	8.741200395	0.003110997	0.473119039
LOC100271836_NR_027155	1.203216257	7.780249115	8.739865855	0.003113274	0.473119039
PHLDB2_NM_001134439	-1.138032379	3.696966486	8.739491347	0.003113914	0.473119039
NRG1_NM_001160008	1.428375205	2.864942351	8.657690927	0.003256837	0.491741749
A2M_NM_000014	-2.651005862	0.377875341	8.625911269	0.003314146	0.497286588
TBC1D3H_NM_001123392	1.231621321	4.735652011	8.591516822	0.003377326	0.502416463
ECE2_NM_014693	2.285890441	1.484781332	8.584734503	0.003389928	0.502416463
SHC3_NM_016848	-2.180805473	1.487207505	8.549429895	0.003456305	0.506106116
ITGA3_NM_002204	1.289533287	5.594217576	8.549209635	0.003456723	0.506106116
TRIM40_NM_138700_7	1.03376474	4.640232386	8.451257249	0.003647912	0.530881038
CXCL12_NM_001033886	-1.208823207	5.527639315	8.407496618	0.003736769	0.537719892
MT2A_NM_005953	-1.458229465	6.051403667	8.401206088	0.003749721	0.537719892
ITGA3_NM_005501	1.280323103	5.547217318	8.395418076	0.00376168	0.537719892
KLF13_NM_015995	0.946008097	5.212389274	8.35122067	0.003854283	0.540192705
MEG3_NR_003530	1.71406846	2.913353923	8.338700489	0.003880935	0.540192705
SH2B1_NM_001145812	1.09894556	4.503091617	8.320810485	0.003919343	0.540192705
NFATC2IP_NM_032815	1.141227078	4.270391231	8.319718808	0.003921699	0.540192705
SH2B1_NM_001145796	1.098540638	4.502532389	8.30457978	0.003954523	0.540192705
TGM2_NM_004613	-2.100184821	4.596737005	8.287389969	0.003992133	0.540192705
SH2B1_NM_001145797	1.095493495	4.504987445	8.286314611	0.003994498	0.540192705
TNIK_NM_015028	-2.047652931	0.802503217	8.281559255	0.004004972	0.540192705
LOC100289092_NR_046289	1.897169293	1.394275624	8.266108899	0.004039198	0.540192705
LOC100289092_NR_046290	1.897169305	1.394031293	8.265904442	0.004039653	0.540192705
LOC100289092_NR_046287	1.89303085	1.396293925	8.260766051	0.004051103	0.540192705
TNIK_NM_001161561	-2.04307998	0.78836783	8.254894927	0.004064226	0.540192705
LOC100289092_NR_046288	1.893031348	1.39604987	8.252465272	0.004069669	0.540192705
NPTX1_NM_002522	2.417885906	3.456415256	8.228053912	0.004124774	0.544515201
TNIK_NM_001161560	-2.036611922	0.788357564	8.195188065	0.004200164	0.548669628
TNIK_NM_001161563	-2.05166664	0.772100501	8.185076059	0.004223641	0.548669628
SH2B1_NM_001145795	1.08407952	4.374125741	8.184758961	0.004224379	0.548669628
STEAP1_NM_012449	-1.167758464	3.860124123	8.170273164	0.004258249	0.550111163
MT1L_NR_001447	-1.876485698	4.06684118	8.158124204	0.004286869	0.550862628
KRT9_NM_000226	-3.233115053	-0.183910805	8.114697268	0.00439078	0.561230023
TBC1D3C_NM_001001418	1.207486708	4.820042444	8.099952201	0.004426643	0.561708117
TNIK_NM_001161565	-2.047037995	0.757663443	8.094073408	0.004441024	0.561708117
TNIK_NM_001161562	-2.031892765	0.774083413	8.079004898	0.004478103	0.562811816
MEG3_NR_003531	1.69331472	2.809298799	8.071638484	0.004496344	0.562811816
TNIK_NM_001161564	-2.040425989	0.757652959	8.034006368	0.004590719	0.571662785
RNF39_NM_170769	0.989336499	4.707778258	8.013355861	0.004643361	0.575252908
MEG3_NR_033359	1.692631316	2.745824743	7.949476145	0.00481013	0.5895385
TNIK_NM_001161566	-2.035640686	0.743069833	7.945090737	0.0048218	0.5895385
MT1G_NM_005950	-1.842250528	3.22843819	7.941310595	0.004831883	0.5895385
TBC1D3G_NM_001040282	1.312723152	3.371536466	7.909761971	0.004916874	0.592786047
RAB39B_NM_171998	-1.962788382	1.217779523	7.908417082	0.004920531	0.592786047
CXCL12_NM_001178134	-1.202551652	6.716550845	7.903582263	0.004933699	0.592786047
MEG3_NR_033358	1.684583322	2.755862819	7.895187016	0.004956651	0.592786047
SH2B1_NM_015503	1.054645755	4.433468544	7.850903972	0.00507953	0.604489123
MT1H_NM_005951	-1.78535035	2.901513671	7.809355872	0.005197643	0.613880201
GAGE12J_NM_001098406	-4.298085315	0.975385239	7.805319415	0.005209266	0.613880201
PAPSS2_NM_001015880	-1.147038487	5.576263776	7.791297253	0.005249849	0.615659452
RHD_NM_016124	-2.340700381	0.180831204	7.76231761	0.005334746	0.622018092
COL14A1_NM_021110	1.34543652	4.485642904	7.744921423	0.00538638	0.622018092
PAPSS2_NM_004670	-1.146039237	5.547426569	7.738996763	0.005404082	0.622018092
MT1F_NM_005949	-1.810538461	3.279352788	7.738001236	0.005407062	0.622018092
ITGA11_NM_001004439	1.160855787	8.820623214	7.723166808	0.005451669	0.6241773
RNF39_NM_025236	0.97923277	4.402556351	7.697483757	0.005529786	0.630134779
ZNRD1-AS1_NR_026751	0.869338374	5.591661619	7.683527319	0.005572714	0.632045152
ABCA3_NM_001089	1.951018178	0.944785778	7.639475119	0.005710453	0.644640782
C11orf87_NM_207645	1.537449422	3.793829066	7.625929887	0.0057535	0.646479281
B4GALT1_NM_001497	0.901149145	6.827319497	7.592528191	0.00586107	0.651812326
IFIT1_NM_001548	-1.475459069	2.624297026	7.588906672	0.005872856	0.651812326
TGM2_NM_198951	-2.063652373	3.539504303	7.576244087	0.005914255	0.651812326
FAM35B2_NR_027634	-1.239899165	3.044913405	7.572593771	0.005926244	0.651812326
MEG3_NR_002766	1.672828653	2.640650765	7.569668968	0.005935869	0.651812326
MEG3_NR_033360	1.671039165	2.580236253	7.520159776	0.006101227	0.66550389
SLC1A2_NM_001252652	2.097151585	0.928736497	7.51590662	0.00611565	0.66550389
COL6A3_NM_057164	1.139740152	7.921064613	7.489871458	0.006204699	0.671591085
SLC1A2_NM_001195728	2.094753888	0.928109946	7.478229957	0.006244943	0.671591085
COL5A1_NM_000093	1.090425492	9.103618427	7.475336391	0.006254988	0.671591085
COL6A3_NM_057165	1.132203587	8.024569017	7.449681257	0.006344768	0.673458118
SLC1A2_NM_004171	2.084109384	0.938796488	7.444234822	0.006363997	0.673458118
TBC1D3B_NM_001001417	1.287167911	3.933429355	7.440989092	0.006375484	0.673458118
CLIC2_NM_001289	-1.729949439	2.845558531	7.438619053	0.006383886	0.673458118
MT1X_NM_005952	-1.566898269	2.371089868	7.427971204	0.00642177	0.674281632
CXCL12_NM_199168	-1.19031993	7.172269577	7.419418031	0.006452368	0.674281632
AFF3_NM_002285	1.265176532	3.29725497	7.412999941	0.006475426	0.674281632
AFF3_NM_001025108	1.264236425	3.307357547	7.386111321	0.006572944	0.681498672
PPP1R9B_NM_032595	0.836074706	5.327764907	7.355271344	0.006686642	0.68837848
RPL22L1_NM_001099645	-0.802384275	5.447231569	7.352679334	0.006696289	0.68837848
SPNS1_NM_001142448	0.860880119	5.464489489	7.323289877	0.00680667	0.696760733
MT1B_NM_005947	-1.859926524	3.724001412	7.302556669	0.006885656	0.701872098
MT1DP_NR_027781	-1.876287849	3.912385826	7.250983748	0.007086218	0.716392402
MT1DP_NR_003658	-1.87624942	3.912368715	7.250680329	0.007087416	0.716392402
MT1A_NM_005946	-1.857282957	3.932172121	7.227214229	0.007180655	0.719615937
HMCN1_NM_031935	1.227910404	4.814822061	7.221442488	0.00720378	0.719615937
KRT8_NR_045962	-2.653073802	0.561320309	7.220224213	0.00720867	0.719615937
MAPK8IP3_NM_015133	1.304823759	2.775688546	7.169353072	0.007415951	0.737261536
SPNS1_NM_001142450	0.845435916	5.499585417	7.151449617	0.007490342	0.741605263
IRX6_NM_024335	3.402553975	-0.487383787	7.13835032	0.007545254	0.743992831
WNK4_NM_032387	-2.513346316	0.841877972	7.074248758	0.00781996	0.767945515
OLFML2A_NM_182487	1.692869857	1.79872504	7.042597629	0.007959351	0.768106766
GLRX_NM_001243659	-1.087140278	3.748252397	7.031771378	0.008007611	0.768106766
BST2_NM_004335	-2.812656237	-0.653088854	7.024967749	0.008038092	0.768106766
MAPK8IP3_NM_001040439	1.292318307	2.766846712	7.021304727	0.008054552	0.768106766
GLRX_NM_001118890	-1.085965024	3.747519313	7.018676813	0.008066382	0.768106766
KRT8_NM_001256293	-2.637800438	0.241916467	7.000067317	0.008150665	0.768106766
DCLK1_NM_001195415	-1.93127074	2.098512999	6.999090879	0.008155112	0.768106766
NEDD9_NM_006403	1.498261873	3.577367203	6.995468978	0.00817163	0.768106766
RASL11A_NM_206827	-2.382350639	0.149259703	6.992932602	0.008183217	0.768106766
PDE1C_NM_001191056	1.466701358	3.944063526	6.988946465	0.008201461	0.768106766
PDE1C_NM_001191057	1.446786137	3.980430138	6.975338848	0.008264057	0.768106766
NEDD9_NM_001142393	1.5002613	3.532396199	6.975332312	0.008264088	0.768106766
PDE1C_NM_005020	1.467894163	3.899141908	6.972245774	0.008278354	0.768106766
LFNG_NM_001040168	1.553021183	1.443124177	6.96886116	0.008294027	0.768106766
DCLK1_NM_001195416	-1.926670872	2.07861206	6.967890042	0.008298529	0.768106766
GLRX_NM_001243658	-1.080084998	3.772382534	6.949761395	0.008383041	0.769419641
GLRX_NM_002064	-1.079350601	3.775790486	6.939045985	0.008433408	0.769419641
PDE1C_NM_001191059	1.443469869	3.950863875	6.937701986	0.008439747	0.769419641
PDE1C_NM_001191058	1.459234213	3.824560267	6.937624869	0.008440111	0.769419641
DMKN_NM_033317	-1.591547424	3.221808909	6.922140527	0.008513501	0.773192326
CCL2_NM_002982	-1.713225494	2.021779747	6.875198439	0.008740005	0.788311026
PKD1_NM_000296	0.923202434	5.263379002	6.868430279	0.008773168	0.788311026
PKD1_NM_001009944	0.923193681	5.263534716	6.867473748	0.008777865	0.788311026
NSUN4_NR_045789	-1.019019083	3.376699941	6.856071007	0.008834059	0.790419228
DMKN_NM_001190349	-1.705879704	2.608267446	6.849150603	0.008868343	0.790558739
CYYR1_NM_052954	2.113956938	0.901298821	6.830795946	0.008959933	0.793916124
VBP1_NM_003372	-0.850788199	4.84172533	6.828445387	0.008971732	0.793916124
DMKN_NM_001126057	-1.653325526	2.856884264	6.813933667	0.00904493	0.797009937
DMKN_NM_001126058	-1.670231208	2.748475222	6.808464067	0.009072677	0.797009937
RRN3P1_NR_003370	1.009800831	6.838949684	6.794916846	0.009141778	0.800170565
DMKN_NM_001190348	-1.627748459	3.049661781	6.767936922	0.009281006	0.809424354
DMKN_NM_001190347	-1.568166943	3.270731014	6.747659288	0.009387076	0.815730109
AGRN_NM_198576	1.069789153	4.764160156	6.738222185	0.009436862	0.81711727
DMKN_NM_001126056	-1.562530444	3.379065124	6.714623272	0.009562549	0.824762456
SPNS1_NM_032038	0.817896837	5.455500556	6.706414397	0.00960667	0.824762456
LRP4_NM_002334	1.079630837	3.067058514	6.701847587	0.009631306	0.824762456
CCDC85A_NM_001080433	-1.810314943	2.046133194	6.69276682	0.009680485	0.824762456
RAC2_NM_002872	-1.178299004	3.532496009	6.689937946	0.009695858	0.824762456
KRT15_NM_002275	-2.993309911	0.067401418	6.59865231	0.010205599	0.864333453
LITAF_NM_001136473	-0.881876146	5.309209669	6.593946468	0.010232609	0.864333453
BHMT2_NM_017614	1.378953789	2.068278729	6.53328765	0.010587409	0.890406758
OTOA_NM_170664	1.021815545	7.484551643	6.518276327	0.010677144	0.890406758
HUNK_NM_014586	1.441206261	2.673247422	6.516717424	0.010686507	0.890406758
SPNS1_NM_001142451	0.816816275	5.323354549	6.512121308	0.010714162	0.890406758
CYTL1_NM_018659	2.684875522	-0.730921653	6.510228593	0.010725572	0.890406758
LITAF_NR_024320	-0.883700013	5.254089121	6.489172043	0.010853351	0.892856469
ULK4P1_NR_026858_1	1.60017345	1.062169459	6.487485179	0.010863655	0.892856469
ULK4P2_NR_027470_1	1.600173457	1.062169457	6.487108515	0.010865958	0.892856469
CDH13_NM_001220492	1.094491793	3.789654157	6.468274022	0.010981713	0.896645024
PDK2_NM_001199898	1.001913701	4.566314382	6.46753268	0.010986296	0.896645024
LENG8_NM_052925	1.066178269	3.767038965	6.450208213	0.011093934	0.902381341
LITAF_NM_001136472	-0.879123535	5.269855271	6.423580673	0.011261488	0.912936293
LITAF_NM_004862	-0.879130138	5.26985034	6.406542299	0.011370062	0.918127761
LOC100132247_NM_001135865	1.158362367	2.882183215	6.373408823	0.011584286	0.918127761
WISP2_NM_003881	-1.817292975	5.071777934	6.371096999	0.011599387	0.918127761
COL18A1_NM_130445	1.224481396	5.785256988	6.370776321	0.011601483	0.918127761
OTOA_NM_001161683	1.022023796	7.82171006	6.359086918	0.011678163	0.918127761
SERINC2_NM_178865	-1.060377428	3.8972089	6.354017274	0.01171158	0.918127761
SERINC2_NM_001199039	-1.055116318	3.922689331	6.349472681	0.011741619	0.918127761
SERINC2_NM_018565	-1.059698335	3.896003428	6.347213883	0.011756579	0.918127761
CLEC2A_NM_001130711	2.995785459	0.803418664	6.346407175	0.011761927	0.918127761
SERINC2_NM_001199038	-1.06280183	3.871123647	6.344268952	0.011776113	0.918127761
NFATC2_NM_173091	2.306472163	0.420630788	6.343703617	0.011779867	0.918127761
SERINC2_NM_001199037	-1.063276817	3.870892449	6.343444426	0.011781588	0.918127761
SLC2A14_NM_153449	1.131218481	5.109906139	6.332466106	0.011854736	0.919869855
COL18A1_NM_030582	1.219954771	5.77869459	6.328676019	0.011880097	0.919869855
NFATC2_NM_001136021	2.277727209	0.50960292	6.310718066	0.012001022	0.921608679
LOC729513_NR_033959	2.273623117	0.486160669	6.308421987	0.012016575	0.921608679
STEAP1B_NM_207342	-1.596874331	1.538043509	6.308358938	0.012017002	0.921608679
LOC642826_NR_024495	-1.764451748	1.314710131	6.30025005	0.012072094	0.922903966
OTOA_NM_144672	1.022423671	8.044238173	6.274976347	0.012245476	0.933205673
TRPC4_NM_001135958	-1.293270054	2.164152562	6.266942826	0.012301121	0.934498351
CDH13_NM_001220491	1.089395888	3.648289856	6.238277487	0.012501801	0.942373356
NFATC2_NM_012340	2.270980626	0.497962815	6.23726613	0.012508942	0.942373356
CSMD2_NM_052896	1.562501356	2.748763991	6.232372449	0.012543557	0.942373356
SUB1_NM_006713	-0.774983042	6.070715828	6.229937476	0.012560817	0.942373356
BHMT2_NM_001178005	1.407557752	1.925535494	6.223418381	0.012607147	0.942920941
COL6A3_NM_057166	1.173996387	10.27279933	6.169544899	0.012996804	0.966722327
NSUN4_NM_001256127	-0.959121984	3.278303738	6.158103721	0.013081137	0.966722327
