	logFC	logCPM	LR	PValue	FDR
SERPINB2_NM_002575	3.058806047	4.157328567	16.52370016	4.80E-05	0.016581278
SERPINB2_NM_001143818	3.051299624	4.201227074	16.46448022	4.96E-05	0.016866405
SGK1_NM_001143677	-1.665581961	5.859350645	16.23497884	5.60E-05	0.018673664
SGK1_NM_001143676	-1.663506514	5.856869376	16.21111819	5.67E-05	0.018673664
SGK1_NM_001143678	-1.66197855	5.861069653	16.19315067	5.72E-05	0.018673664
CHST15_NM_015892	3.312942881	1.205582178	16.10532203	5.99E-05	0.019299157
SGK1_NM_005627	-1.660937947	5.902973721	16.04441685	6.19E-05	0.019667727
ADA_NM_000022	2.199040294	4.599889998	16.0052618	6.32E-05	0.019817931
CCDC85A_NM_001080433	-2.915493926	2.046133194	15.96268905	6.46E-05	0.020008793
NFATC2_NM_001136021	3.869964809	0.50960292	15.92927094	6.58E-05	0.020107385
HSD17B14_NM_016246	2.570196199	3.495852006	15.86054168	6.82E-05	0.020509593
NFATC2_NM_173091	3.899034411	0.420630788	15.84447121	6.88E-05	0.020509593
NFATC2_NM_012340	3.86494313	0.497962815	15.79609796	7.05E-05	0.020784086
BDKRB2_NM_000623	-2.608852815	1.840411244	15.58520932	7.89E-05	0.022909508
RPL9_NM_001024921	-2.058587868	5.380861766	15.56637141	7.97E-05	0.022909508
CDH10_NM_006727	-5.167230037	-0.779204781	15.41244802	8.64E-05	0.024560771
FXYD1_NM_005031	2.638582582	1.431276849	15.35805648	8.89E-05	0.024984109
HLA-DPA1_NM_001242524_1	2.813532633	0.893010403	15.28436502	9.25E-05	0.025679343
FXYD1_NM_021902	2.638846093	1.396863028	15.12088128	0.000100842	0.027683334
HLA-DPA1_NM_001242525_3	2.802060607	0.861833305	15.01670437	0.000106564	0.028925469
HLA-DPA1_NM_033554_7	3.002311581	0.598625575	14.89777669	0.000113497	0.030465028
HAND2_NM_021973	-1.964482518	3.052647632	14.82163969	0.000118172	0.031371345
KRT33A_NM_004138	3.524093702	1.135202965	14.73710023	0.00012359	0.032115901
PCDH7_NM_032457	-3.827135546	0.38474213	14.71695716	0.000124918	0.032115901
PCDH7_NM_001173523	-3.827980395	0.385334008	14.71625045	0.000124965	0.032115901
TSPAN10_NM_031945	3.326483936	2.354667847	14.28245048	0.000157325	0.040006879
KRT8_NM_001256293	-3.996148814	0.241916467	14.22471017	0.000162226	0.040823555
KRT34_NM_021013	2.951346623	3.430345093	14.17911646	0.000166205	0.041393606
KRT8_NR_045962	-3.93027071	0.561320309	14.1377393	0.000169901	0.041882275
PCDH7_NM_002589	-3.861633611	0.053996832	14.11325773	0.000172126	0.042002301
SOX9_NM_000346	-2.999620256	0.854622572	13.97742575	0.000185019	0.044551916
F2R_NM_001992	2.493061104	4.768250242	13.9363896	0.000189102	0.044551916
NPTX2_NM_002523	4.463869303	0.379757762	13.93567457	0.000189174	0.044551916
LOXL3_NM_032603	1.489322858	4.055937298	13.91254041	0.000191516	0.044551916
CDH13_NM_001220490	1.512013668	5.735122482	13.87704284	0.000195168	0.044551916
CDH18_NM_004934	-4.166041455	0.844965423	13.85311955	0.000197668	0.044551916
CDH13_NM_001220489	1.508770481	5.771171661	13.85222914	0.000197762	0.044551916
COL4A5_NM_000495	3.351481887	1.385350339	13.83915752	0.000199142	0.044551916
COL4A5_NM_033380	3.351481885	1.385350337	13.83887519	0.000199172	0.044551916
OLFML2B_NM_015441	1.573712808	4.145756663	13.8199572	0.000201188	0.044589866
CHI3L1_NM_001276	-3.786747863	0.874516806	13.78585884	0.000204873	0.044993729
CDH18_NM_001167667	-4.158239041	0.812265934	13.74758126	0.00020909	0.045506247
CDH13_NM_001257	1.500326685	5.842656091	13.7134768	0.000212921	0.045926322
MGP_NM_001190839	-3.790136123	2.060192826	13.66917702	0.000218003	0.04660644
CDH13_NM_001220488	1.497982443	5.871369836	13.6081369	0.000225207	0.047474414
GALNT5_NM_014568	-1.240889106	5.119948836	13.60159217	0.000225994	0.047474414
LPHN2_NM_012302	1.343875391	4.348731961	13.55559802	0.0002316	0.048232619
GJC1_NM_001080383	1.435946592	4.289193631	13.51824146	0.000236256	0.048728
GJC1_NM_005497	1.434209078	4.294916879	13.50433942	0.000238012	0.048728
MGP_NM_000900	-3.804727201	1.841619999	13.46965851	0.000242452	0.048969004
PCDH7_NM_032456	-3.759582029	-0.089390185	13.46354544	0.000243244	0.048969004
TRPC6_NM_004621	3.917166821	2.617152384	13.3014725	0.000265198	0.0529475
KRT18_NM_000224	-3.621187033	0.696314334	13.13297596	0.000290144	0.057453179
IGFBP5_NM_000599	-2.028299832	7.006272015	13.00642131	0.000310425	0.060969417
KRT18_NM_199187	-3.577408051	0.756770938	12.9326361	0.000322903	0.062908745
PDGFA_NM_002607	2.581042539	2.990160646	12.83531525	0.000340138	0.065736459
CHST15_NM_014863	3.17306238	0.273758456	12.78583965	0.000349253	0.066962327
PDGFA_NM_033023	2.582673891	2.904957776	12.69254376	0.000367117	0.069833076
VIT_NM_001177969	-2.477316962	2.179392993	12.58067946	0.000389755	0.073081475
VIT_NM_053276	-2.47724296	2.217416397	12.57075039	0.000391831	0.073081475
VIT_NM_001177970	-2.481545205	2.130292027	12.56390567	0.000393269	0.073081475
VIT_NM_001177971	-2.472266462	2.126036761	12.49167865	0.000408769	0.075381945
CSPG4_NM_001897	1.929542067	4.555702017	12.46168985	0.000415384	0.076021562
TMEM176B_NM_014020	3.9582694	2.204216573	12.28804797	0.000455868	0.082803505
TMEM176B_NM_001101312	3.962322266	2.205689767	12.22889585	0.00047055	0.084250439
TMEM176B_NM_001101311	3.962322316	2.205689768	12.22786974	0.000470809	0.084250439
DOCK2_NM_004946	1.985748178	2.138530298	12.15431991	0.000489743	0.086994198
TBX2_NM_005994	2.721423554	2.604341624	12.09252364	0.000506244	0.089268936
TMEM176B_NM_001101314	3.92284507	2.042497995	12.07234987	0.000511752	0.089586191
KCNA4_NM_002233	-4.377573079	0.027091292	11.92423785	0.000554083	0.095883201
MYH2_NM_017534	-3.783587151	1.886805356	11.91894108	0.000555661	0.095883201
MYH2_NM_001100112	-3.777909502	1.887205742	11.89424232	0.000563077	0.096473907
CMKLR1_NM_001142343	3.174731412	0.723758126	11.72333054	0.000617214	0.105004607
LOC729513_NR_033959	3.212390059	0.486160669	11.67228691	0.00063438	0.107170265
LGALS3BP_NM_005567	2.131928975	5.458212738	11.6199671	0.000652476	0.109461836
CMKLR1_NM_004072	3.165383949	0.678345158	11.60508903	0.000657716	0.109523941
PCNT_NM_006031	1.476567742	4.422120444	11.59325921	0.000661913	0.109523941
CMKLR1_NM_001142345	3.202957463	0.629612627	11.56982353	0.000670308	0.110158474
FGF7_NM_002009	-1.664427852	5.201007896	11.48478058	0.000701684	0.11397668
MARCKSL1_NM_023009	-1.795336347	2.590682744	11.47652468	0.000704808	0.11397668
CMKLR1_NM_001142344	3.156622276	0.666383729	11.46892709	0.000707695	0.11397668
MYH1_NM_005963	-4.241907997	2.67708193	11.44296429	0.000717652	0.114814835
PLXNA4_NM_020911	2.074885979	2.175591065	11.41618815	0.000728069	0.115715104
ERAP2_NM_001130140	-2.294727213	2.175931773	11.28007718	0.000783433	0.123700486
ZFPM2_NM_012082	-3.657824543	0.171083106	11.25333421	0.000794801	0.1242361
ERAP2_NM_022350	-2.296387699	2.182709077	11.24794893	0.00079711	0.1242361
COL7A1_NM_000094	1.825481073	4.410801699	11.22495469	0.000807047	0.124978539
CRLF1_NM_004750	1.971050566	3.115050337	11.11674432	0.000855518	0.131640831
F11R_NM_016946	-3.37330723	-1.113421014	11.00733637	0.00090752	0.138758609
RDH10_NM_172037	-1.702029431	2.991229457	10.95210102	0.000934975	0.14128216
MYH10_NM_005964	-1.999737262	6.099274108	10.93321831	0.000944553	0.14128216
MYH10_NM_001256012	-2.000538516	6.118705692	10.93212814	0.000945109	0.14128216
MYH10_NM_001256095	-2.000750299	6.108911871	10.92760795	0.000947417	0.14128216
NR4A3_NM_173199	-2.572327236	0.077061765	10.91471096	0.000954036	0.14139633
C11orf87_NM_207645	-1.857101428	3.793829066	10.90208703	0.00096056	0.141495135
STMN2_NM_001199214	-2.700542139	3.875188306	10.8711581	0.000976734	0.142524975
CCDC71L_NM_175884	-1.117387817	4.360336993	10.86620448	0.00097935	0.142524975
STMN2_NM_007029	-2.702399277	3.815472446	10.83578055	0.000995573	0.144018338
C4orf49_NM_032623	-1.876322497	1.958205221	10.81480209	0.001006918	0.144792393
C21orf58_NM_058180	2.390731002	1.782991369	10.7788031	0.00102669	0.146762064
NEK7_NM_133494	-1.248555321	7.131111268	10.76046	0.001036916	0.147351874
WNK4_NM_032387	-3.186244796	0.841877972	10.74186408	0.001047388	0.147969554
COL18A1_NM_130445	1.603618745	5.785256988	10.71397219	0.001063295	0.148684713
PLCB4_NM_001172646	1.271362258	4.27616335	10.69866314	0.00107213	0.148684713
GDF6_NM_001001557	-2.300238697	1.927096203	10.68949158	0.001077458	0.148684713
TMEM176A_NM_018487	3.911171552	1.478245862	10.66700633	0.001090635	0.148684713
PLCB4_NM_000933	1.268037041	4.272253788	10.66659393	0.001090878	0.148684713
COL18A1_NM_030582	1.598619191	5.77869459	10.65640269	0.001096905	0.148684713
CDH4_NM_001252339	-2.320187618	1.627494989	10.63720659	0.00110835	0.148684713
CDH4_NM_001794	-2.31000719	1.663140084	10.62482869	0.001115793	0.148684713
GDNF_NM_001190468	1.971738504	2.157113819	10.61508319	0.001121689	0.148684713
PLCB4_NM_182797	1.267897467	4.253981446	10.60859773	0.00112563	0.148684713
MAB21L1_NM_005584	-2.38590232	2.068696294	10.60084308	0.001130361	0.148684713
CDH4_NM_001252338	-2.311373228	1.630186778	10.59887342	0.001131566	0.148684713
GDNF_NM_000514	1.969282722	2.178611803	10.59137617	0.001136164	0.148684713
VIT_NM_001177972	-2.417409911	1.279463058	10.587391	0.001138615	0.148684713
PI16_NM_001199159	-3.001183747	2.227244994	10.52359947	0.001178597	0.151008757
PI16_NM_153370	-3.00132632	2.228688595	10.51178817	0.001186154	0.151008757
COL6A1_NM_001848	1.560371624	10.77717408	10.50772415	0.001188766	0.151008757
FAM212B_NM_019099	2.373506118	2.823840562	10.50612599	0.001189794	0.151008757
GDNF_NM_199231	1.967961642	2.144813213	10.5008326	0.001193208	0.151008757
GDNF_NM_001190469	1.967537737	2.144555135	10.49825162	0.001194876	0.151008757
EPDR1_NM_017549	1.60265076	2.861477007	10.49008432	0.001200169	0.151008757
DAB1_NM_021080	-2.455722867	2.422252375	10.46634155	0.001215692	0.152169403
FAM212B_NM_198926	2.360469026	2.776202732	10.29999421	0.001330306	0.165657416
LAMC1_NM_002293	1.497852825	8.531182971	10.27504716	0.001348414	0.167051241
CNN1_NM_001299	-1.632614377	4.258419308	10.18410829	0.001416562	0.174598506
WNT16_NM_057168	3.593990367	0.555021796	10.16359355	0.001432411	0.175655818
KCND2_NM_012281	-3.078435163	0.475891342	10.1137179	0.001471698	0.179561993
CCDC137_NM_199287	1.775046989	4.168618997	10.06043469	0.001514875	0.18298572
MYH4_NM_017533	-3.969750845	2.014205174	10.06039448	0.001514908	0.18298572
AP1M1_NM_001130524	1.03346996	5.896812053	10.04172909	0.001530335	0.183101128
EPDR1_NM_001242946	1.615025434	2.684725916	10.02345702	0.001545591	0.183101128
PODXL_NM_001018111	2.496013895	4.762456476	10.01913948	0.001549218	0.183101128
PODXL_NM_005397	2.495052857	4.740004128	10.01254732	0.001554773	0.183101128
LOC100132396_NM_001193630	-2.19478629	0.733087713	9.999803137	0.00156557	0.183101128
DLX1_NM_178120	-2.79867394	-0.071291295	9.99597158	0.00156883	0.183101128
C17orf70_NM_025161	1.50586172	5.086859914	9.995868101	0.001568919	0.183101128
AEBP1_NM_001129	1.216592461	7.976958082	9.971092059	0.001590171	0.184128218
WNT16_NM_016087	3.569928668	0.447677085	9.967862848	0.001592963	0.184128218
EBF2_NM_022659	3.462407479	0.572764395	9.943582125	0.001614111	0.185684308
NBLA00301_NR_003679	-2.680545436	-0.635723759	9.925942013	0.001629654	0.186583823
C17orf70_NR_033338	1.488846067	5.105879745	9.892621178	0.001659428	0.189096548
SNORD36C_NR_000016	2.460462979	2.285513358	9.879815459	0.001671017	0.189523136
CDH13_NM_001220492	1.360018834	3.789654157	9.867258756	0.00168246	0.189929287
MMP1_NM_002421	2.067640447	7.522533786	9.805654591	0.001739761	0.19527426
MLF1IP_NM_024629	1.897642805	3.208258723	9.799098918	0.001745974	0.19527426
MIR4751_NR_039906	-2.070691174	1.52338257	9.78257742	0.001761732	0.196128659
C17orf90_NM_001039842	1.975948844	2.410094448	9.731832258	0.001811039	0.198928291
HAPLN1_NM_001884	-3.053304812	5.062232581	9.729674354	0.001813166	0.198928291
NREP_NM_001142474	-1.236540491	7.138743726	9.724220858	0.001818554	0.198928291
NREP_NM_001142475	-1.236763992	7.139268611	9.722944255	0.001819818	0.198928291
AP1M1_NM_032493	1.004275609	5.840091473	9.706590305	0.001836084	0.19980229
EPDR1_NM_001242948	1.588060605	2.702559804	9.695648348	0.001847049	0.200023264
MMP1_NM_001145938	2.048156321	7.447608361	9.68807852	0.001854674	0.200023264
ST3GAL5_NM_001042437	-1.42143772	2.682086107	9.654319619	0.001889068	0.202453407
CXCL6_NM_002993	-2.954243542	0.167951097	9.649561772	0.001893968	0.202453407
NREP_NM_001142483	-1.231347513	7.198221842	9.630344008	0.001913888	0.203681481
CDH13_NM_001220491	1.361333029	3.648289856	9.621652357	0.001922966	0.203750101
PFN2_NM_002628	-1.057386694	6.562908281	9.600667075	0.001945067	0.205191824
TNFSF4_NM_003326	-2.174191826	1.349231844	9.58397188	0.001962833	0.206165759
KRT31_NM_002277	3.01790981	2.084881963	9.566325091	0.001981791	0.206484304
ST3GAL5_NM_003896	-1.419752762	2.67710392	9.549488464	0.002000051	0.206484304
NREP_NM_004772	-1.227874532	7.238057036	9.546085661	0.002003763	0.206484304
NREP_NM_001142477	-1.227654177	7.240661771	9.533339779	0.002017726	0.206484304
NREP_NM_001142476	-1.227681737	7.240720128	9.533073687	0.002018019	0.206484304
PFN2_NM_053024	-1.055651996	6.596505519	9.532915641	0.002018192	0.206484304
NREP_NM_001142478	-1.225547245	7.244965499	9.506682545	0.00204725	0.206484304
NREP_NM_001142480	-1.225297915	7.245193724	9.503187374	0.002051153	0.206484304
NREP_NM_001142479	-1.225260838	7.245360623	9.50194535	0.002052542	0.206484304
NREP_NM_001142481	-1.225048818	7.245510423	9.498709725	0.002056164	0.206484304
NREP_NM_001142482	-1.224917303	7.245660177	9.495392053	0.002059886	0.206484304
FAM66E_NR_027424	-1.833931656	1.299234132	9.42418266	0.002141425	0.21377087
IFIT1_NM_001548	-1.645066324	2.624297026	9.343558661	0.002237706	0.222462944
OLFML1_NM_198474	1.912419042	4.13015207	9.304064842	0.00228646	0.226378268
SMTN_NM_134269	1.139212343	5.382741595	9.268259997	0.002331591	0.229904391
SMTN_NM_001207018	1.138627109	5.301490221	9.232950123	0.002376984	0.232791749
SMTN_NM_134270	1.140423017	5.350090005	9.230515872	0.002380146	0.232791749
RASIP1_NM_017805	3.512827784	2.800019453	9.21589398	0.00239923	0.233712116
SMTN_NM_001207017	1.136722338	5.319460235	9.167101462	0.002464045	0.239061866
SMTN_NM_006932	1.138511296	5.293787432	9.148347602	0.002489428	0.240426911
NRXN2_NM_015080	2.360663492	1.720699775	9.140001503	0.002500809	0.240426911
KCNS2_NM_020697	2.763111211	1.206453931	9.127300181	0.002518231	0.240426911
MRGPRF_NM_145015	1.052025694	4.804153443	9.11967644	0.002528747	0.240426911
MRGPRF_NM_001098515	1.052025694	4.804153443	9.119580882	0.002528879	0.240426911
DLX1_NM_001038493	-2.73014599	-0.270478548	9.113118466	0.002537829	0.240426911
MED26_NM_004831	1.637110555	2.260862801	9.09556811	0.002562296	0.241796677
C13orf33_NM_032849	-1.520770516	4.262670642	9.054084294	0.002621086	0.246382125
APOBEC3B_NM_004900	1.461845407	4.437241556	9.001726913	0.002697246	0.25255842
NRXN2_NM_138732	2.356488448	1.673995079	8.978102893	0.002732342	0.254856813
MTSS1_NM_014751	2.533020335	0.508939684	8.951890679	0.002771826	0.257545242
DIO2_NM_001242502	-3.060991655	0.407449788	8.905771065	0.002842708	0.263119328
AQP1_NM_198098	2.070068407	3.628063557	8.889984195	0.002867392	0.264391067
SNORD24_NR_002447	-1.779254273	1.504402207	8.88089048	0.00288171	0.26470091
IRX6_NM_024335	3.872865496	-0.487383787	8.865209045	0.00290657	0.265441477
DIO2_NM_001007023	-3.058906025	0.394354932	8.855673432	0.002921793	0.265441477
DIO2_NM_001242503	-3.057615259	0.393090429	8.853038161	0.002926014	0.265441477
DIO2_NM_013989	-3.061101861	0.384280297	8.848236086	0.002933723	0.265441477
LPPR4_NM_001166252	2.40399243	0.922944039	8.833984864	0.002956721	0.265651442
LPPR4_NM_014839	2.396982741	0.993965618	8.826782891	0.002968412	0.265651442
GBP3_NM_018284	-1.021238082	4.241624879	8.8230349	0.002974515	0.265651442
DIO2_NM_000793	-3.055168928	0.382273809	8.819655628	0.002980029	0.265651442
ADRA2A_NM_000681	-1.551389903	4.298243912	8.789721109	0.003029326	0.268563904
SYNPO_NM_007286	-1.089195268	3.457916355	8.7793826	0.003046543	0.268563904
SOCS2_NM_003877	-1.446323037	2.73786895	8.777102966	0.003050353	0.268563904
LTBP2_NM_000428	1.145407519	8.069870144	8.773031959	0.003057168	0.268563904
LOC100505678_NR_040093	-1.129243842	5.209168369	8.761583553	0.003076418	0.269275761
F10_NM_000504	1.845084865	2.809592912	8.694888928	0.003191036	0.278299778
AQP1_NM_001185062	2.027056645	3.488573118	8.662099724	0.003248967	0.282332895
PRELP_NM_201348	1.858312501	4.476816607	8.641664253	0.003285612	0.284493921
AQP1_NM_001185060	2.025691082	3.538448851	8.627254607	0.003311703	0.284873321
PRELP_NM_002725	1.857789933	4.479676324	8.626223856	0.003313577	0.284873321
AQP1_NM_001185061	2.019029937	3.492190289	8.600409983	0.003360873	0.287594391
ADRA1D_NM_000678	2.427189016	-0.274801799	8.595991328	0.003369038	0.287594391
PKMYT1_NM_182687	2.095230294	2.683826338	8.573741736	0.003410456	0.290104881
PKMYT1_NM_004203	2.102108431	2.667906126	8.553914538	0.0034478	0.292252483
TIMP3_NM_000362	1.353034849	8.5978976	8.519416911	0.003513771	0.296803037
SLC24A2_NM_020344	-6.105719011	0.78390533	8.511054461	0.003529955	0.297131155
NPLOC4_NM_017921	1.260891124	6.433623209	8.439060143	0.00367246	0.308053088
NMNAT2_NM_170706	2.383473511	0.770469385	8.412619695	0.003726253	0.311336889
NMNAT2_NM_015039	2.383473108	0.770469239	8.407197767	0.003737383	0.311336889
CLSPN_NM_022111	2.145347836	2.25046171	8.371552062	0.0038114	0.316411668
FERMT3_NM_178443	2.094668291	1.459080043	8.336152911	0.003886381	0.320673872
FERMT3_NM_031471	2.094532453	1.458994662	8.334793882	0.003889289	0.320673872
NIPAL3_NM_020448	1.263496786	5.14241216	8.320876484	0.0039192	0.322040967
CLSPN_NM_001190481	2.135689117	2.203723476	8.312252662	0.003937852	0.322253392
NCKAP5_NM_207363	2.33833509	0.753528209	8.3073645	0.003948464	0.322253392
HSPB8_NM_014365	-1.678104779	2.202139575	8.296726671	0.00397166	0.323055092
SOX11_NM_003108	-3.394899984	-0.273986929	8.273044224	0.004023798	0.326197714
AFF3_NM_002285	1.337482257	3.29725497	8.25612255	0.004061478	0.327183533
AFF3_NM_001025108	1.338894558	3.307357547	8.254884092	0.00406425	0.327183533
GPX3_NM_002084	2.285151091	1.727389513	8.249381326	0.004076589	0.327183533
ST8SIA2_NM_006011	2.467003945	0.310839951	8.206786123	0.004173401	0.333844411
L1CAM_NM_024003	3.093124284	0.355511858	8.18271448	0.004229143	0.337186903
L1CAM_NM_000425	3.095262475	0.386085067	8.165172655	0.004270241	0.339343681
KLF2_NM_016270	1.487405787	3.47236248	8.158698514	0.004285511	0.339440604
MKI67_NM_001145966	1.744849843	4.41109359	8.151391078	0.004302814	0.33958974
SLC24A2_NM_001193288	-5.936017364	0.614970172	8.146049015	0.004315508	0.33958974
THBS4_NM_003248	2.019340669	1.695596612	8.133875992	0.004344577	0.340767193
L1CAM_NM_001143963	3.085855902	0.342354713	8.127236152	0.004360517	0.340910571
SPAG11A_NM_001081552	-2.194852549	-0.074564735	8.098890437	0.004429236	0.345166109
MKI67_NM_002417	1.73887513	4.453223953	8.090455208	0.004449898	0.345661241
PLXND1_NM_015103	1.015056107	6.086568868	7.964802346	0.00476957	0.369305352
RRM2_NM_001034	1.805524108	4.759693729	7.924951208	0.004875766	0.374528596
RRM2_NM_001165931	1.805368776	4.759937484	7.923230276	0.004880406	0.374528596
PRDM7_NM_001098173	1.89533905	1.043107214	7.922069543	0.004883538	0.374528596
C3orf70_NM_001025266	2.381275243	-0.077816888	7.898392956	0.004947874	0.378261814
EGR3_NM_004430	-2.830178796	0.343470024	7.860983044	0.005051292	0.384949892
SH2B3_NM_005475	1.067710882	4.41565504	7.802567092	0.005217206	0.396332036
SLC7A5_NM_003486	1.588390352	6.07146191	7.790124666	0.005253257	0.396332036
ANLN_NM_018685	1.678334211	5.362895301	7.781473149	0.005278474	0.396332036
EGR3_NM_001199881	-2.827980091	0.307761637	7.780592243	0.005281048	0.396332036
EGR3_NM_001199880	-2.827515484	0.308454591	7.780035063	0.005282677	0.396332036
DAPK1_NM_004938	2.447941554	3.174777581	7.768484849	0.005316563	0.397639376
NRXN2_NM_138734	2.494348946	0.635635436	7.731820845	0.005425601	0.404542167
PRR15_NM_175887	-2.4071173	0.109880618	7.713965672	0.005479525	0.407305708
ARRDC4_NM_183376	1.498911499	3.535680791	7.699059602	0.00552496	0.409423287
